path,line_count
"ia_carmine\context\agent_context\transient_request_context\__init__.py",3
"ia_carmine\context\agent_context\transient_request_context\cli.py",361
"ia_carmine\context\context_pack\__init__.py",1
"ia_carmine\context\context_reload\__init__.py",1
"ia_carmine\context\file_refs\__init__.py",1
"ia_carmine\context\heap_context_memory_reload\__init__.py",1
"ia_carmine\context\heap_context_memory_reload\builders.py",283
"ia_carmine\context\heap_context_memory_reload\cli.py",55
"ia_carmine\context\heap_context_memory_reload\common.py",180
"ia_carmine\context\heap_context_memory_reload\delta.py",62
"ia_carmine\context\heap_context_memory_reload\manifest.py",124
"ia_carmine\context\heap_context_memory_reload\memory_write.py",88
"ia_carmine\context\heap_context_memory_reload\reconcile_report\__init__.py",3
"ia_carmine\context\heap_context_memory_reload\reconcile_report\cli.py",257
"ia_carmine\context\heap_context_memory_reload\runner.py",376
"ia_carmine\context\heap_context_memory_reload\runner_state.py",20
"ia_carmine\context\heap_context_memory_reload\scanner.py",68
"ia_carmine\context\heap_context_memory_reload\task_docs.py",170
"ia_carmine\context\heap_context_memory_reload\TOOL_CONTEXT.md",41
"ia_carmine\CONTEXT_INDEX.md",30
"ia_carmine\dispatch.py",157
"ia_carmine\memory\__init__.py",1
"ia_carmine\memory\agent_memory\__init__.py",2
"ia_carmine\memory\agent_memory\common.py",120
"ia_carmine\memory\agent_memory\models.py",108
"ia_carmine\memory\agent_memory\policy.py",305
"ia_carmine\memory\agent_memory\review\__init__.py",3
"ia_carmine\memory\agent_memory\review\cli.py",66
"ia_carmine\memory\agent_memory\routing_cli.py",58
"ia_carmine\memory\agent_memory\routing_report.py",154
"ia_carmine\memory\agent_memory\routing_requests.py",239
"ia_carmine\memory\agent_memory\sqlite_cli.py",74
"ia_carmine\memory\agent_memory\sqlite_report.py",202
"ia_carmine\memory\agent_memory\sqlite_store.py",381
"ia_carmine\memory\agent_memory\state.py",63
"ia_carmine\memory\agent_memory\state_packet.py",173
"ia_carmine\memory\agent_memory\storage.py",161
"ia_carmine\memory\agent_memory\TOOL_CONTEXT.md",36
"ia_carmine\memory\fts5\__init__.py",1
"ia_carmine\memory\persistent\__init__.py",1
"ia_carmine\memory\pointers\__init__.py",1
"ia_carmine\memory\sqlite\__init__.py",1
"ia_carmine\memory\volatile\__init__.py",1
"ia_carmine\pointers\__init__.py",1
"ia_carmine\pointers\graph\__init__.py",1
"ia_carmine\pointers\resume\__init__.py",1
"ia_carmine\pointers\revision_context\__init__.py",1
"ia_carmine\product\__init__.py",1
"ia_carmine\product\agent_review\__init__.py",7
"ia_carmine\product\agent_review\cli_output.py",52
"ia_carmine\product\agent_review\code_patch_plan_builder.py",119
"ia_carmine\product\agent_review\code_patch_plan_cli.py",48
"ia_carmine\product\agent_review\code_patch_plan_deps.py",31
"ia_carmine\product\agent_review\code_patch_plan_render.py",59
"ia_carmine\product\agent_review\code_patch_plan_rules.py",161
"ia_carmine\product\agent_review\code_patch_plan_static.py",143
"ia_carmine\product\agent_review\decision_loop_runner\__init__.py",3
"ia_carmine\product\agent_review\decision_loop_runner\cli.py",329
"ia_carmine\product\agent_review\evidence_analysis.py",175
"ia_carmine\product\agent_review\evidence_cli.py",5
"ia_carmine\product\agent_review\evidence_common.py",106
"ia_carmine\product\agent_review\evidence_report.py",167
"ia_carmine\product\agent_review\patch_bundle_builder.py",145
"ia_carmine\product\agent_review\patch_bundle_cli.py",5
"ia_carmine\product\agent_review\patch_bundle_common.py",180
"ia_carmine\product\agent_review\patch_bundle_sources.py",184
"ia_carmine\product\agent_review\patch_plan\__init__.py",5
"ia_carmine\product\agent_review\patch_plan\builder.py",109
"ia_carmine\product\agent_review\patch_plan\classification.py",21
"ia_carmine\product\agent_review\patch_plan\cli.py",49
"ia_carmine\product\agent_review\patch_plan\common.py",114
"ia_carmine\product\agent_review\patch_plan\decision.py",34
"ia_carmine\product\agent_review\patch_plan\fallback.py",149
"ia_carmine\product\agent_review\patch_plan\gpu.py",94
"ia_carmine\product\agent_review\patch_plan\inputs.py",48
"ia_carmine\product\agent_review\patch_plan\markdown.py",42
"ia_carmine\product\agent_review\report_cli_specs.py",82
"ia_carmine\product\agent_review\review_pr_cli.py",261
"ia_carmine\product\agent_review\review_pr_common.py",235
"ia_carmine\product\agent_review\TOOL_CONTEXT.md",51
"ia_carmine\product\agent_review\warning_policy\__init__.py",40
"ia_carmine\product\agent_review\warning_policy\builder.py",236
"ia_carmine\product\agent_review\warning_policy\cli.py",43
"ia_carmine\product\agent_review\warning_policy\common.py",130
"ia_carmine\product\agent_review\warning_policy\markdown.py",30
"ia_carmine\product\agent_review\wave_entrypoints\__init__.py",3
